S No,Name of the sender of information,
,,Date of Receiving in the
,,14 11 2023
144,Akhil Bhartiya Manavadhikar Vichar,14 11 2023
,Manch Party,
145,Huinanisl Party of India,14 11 2023 (By E-Mail)
146,Navsaijan Bharat Party,14 11 2023 (By E-Mail)
147,Rakshak Jan Moicha Party,14 11 2023 (By E-Mail)
148,One India One People Party,14 11 2023
149,Tipu Sultan Party,15 11 2023
150,Rashtnya Kaiyarat Party,15 11 2023
151,Bhaiat Prabhat Party,15 11 2023
"152, 153",Anaithindia Samudaya Munnetra,15 11 2023/16 11 2023
& 154,Kazhagam (3 Envelopes),
155,Navbharat Ekta Dal,15 11 2023
156,Naaii Nai Rakshak Party,15 11 2023
157,Kalyanwadi Party,15 11 2023
158,Tararani Paksha,15 11 2023
159,Himachal Lokhit Paity,15 11 2023
160,Gujarat Nav Nirman Sena,15 11 2023
161,Gujarat Loktantra Party,15 11 2023
162,Lok Manavadhikai Party,15 11 2023
163,Dharamarajya Paksha,15 11 2023
187,"From Dr Shaji Kadamala Kottayam,",15 11 2023
,Kerala,
188,Lokshasan Andolan Party,15 11 2023 (By E-mail)
189,Humanity Univeisal Motion Party,16 11 2023
190,Lok Swarajya Party,16 11 2023
191,Sambidhan Bachao Paity,16 11 2023
"192, 193",Indian Gandhiyan Party (3 Envelopes),16 11 2023/19 11 2023 (Received through
&194,,"CEO, Kerala)"
195,Bharatiya Goikha Prajatantrik Morcha,16 11 2023
196,Yuga Thulasi Party,16 11 2023
197,Bhaitiya Awam Party (Rastriya),16 11 2023
198,Kisan Sangharsh Samiti,16 11 2023
199 &,Piithviiaj Janshakti Party (2 Envelopes),16 11 2023
200,,
201,Akhil Bhaiatiya Hamaia Samaj Party,16 11 2023
202,Ekta Samaj Party,16 11 2023
203,Bhartiya Asmita Party,16 11 2023
204,Rashtiiya Bhagidari Party,16 11 2023
205,National Aman Party,16 11 2023
206,United Democratic Front Secular,16 11 2023
207,Awam I Samta Party,16 11 2023
208,Desh Shakti Party,16 11 2023
